"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","08:15:53"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-20","08:15:54"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-20","08:15:57"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-20","08:15:57"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-20","08:15:59"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-20","08:16:00"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","08:16:01"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","08:16:04"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-20","08:16:04"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-20","08:16:06"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-20","08:16:06"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-20","08:16:07"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-20","08:16:08"
