"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-23","02:53:42"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-23","02:53:46"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-23","02:53:51"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-23","02:54:12"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","02:54:15"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-23","02:54:18"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","04:57:58"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","04:58:22"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:58:25"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:58:35"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:58:36"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:58:39"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","04:58:39"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","04:58:48"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-23","04:58:50"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-23","04:59:02"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:03"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:07"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:11"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:17"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","04:59:20"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-23","04:59:22"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:23"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","04:59:33"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","04:59:35"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","04:59:35"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","04:59:39"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","04:59:40"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","05:00:18"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:00:20"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","05:03:34"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:35"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:38"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:39"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:40"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:41"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:03:42"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","05:03:43"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","05:03:46"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-23","05:03:49"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:03:50"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:03:52"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","05:06:19"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:06:21"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:06:27"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","05:06:29"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","05:06:38"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:06:41"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:06:44"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","05:06:45"
