"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:40:58"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-20","10:40:58"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-20","10:41:00"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","10:41:20"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","10:41:23"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-20","10:41:24"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-20","10:41:25"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","01:35:21"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-20","01:35:24"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-20","01:35:50"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","01:36:26"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-20","01:36:31"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-20","01:36:34"
