"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-31","10:42:44"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-31","10:42:48"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-31","10:43:05"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-31","10:43:09"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-31","10:43:15"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-31","10:45:17"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-31","10:45:49"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-31","10:45:50"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-31","10:46:05"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-31","11:15:36"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-31","11:15:38"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-31","11:15:45"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-31","11:15:46"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-31","11:15:49"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-31","11:15:53"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-31","11:15:54"
