"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","10:06:41"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-20","10:06:50"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","10:24:53"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:24:58"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:27:59"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:29:30"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:32:54"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:35:50"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-20","10:36:20"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:36:22"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:37:36"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","10:37:37"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-20","10:37:38"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:38:36"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:44:12"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:45:31"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:49:16"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-20","10:49:49"
