"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","09:35:29"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-19","09:35:35"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-19","09:37:26"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","09:37:29"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-19","09:37:33"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-19","09:37:34"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-19","09:37:37"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:06:38"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-19","11:06:46"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:07:52"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-19","11:07:54"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-19","11:07:58"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:08:16"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-19","11:08:17"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-19","11:08:20"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:27:11"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:28:22"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-19","11:28:29"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-19","11:28:29"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:29:03"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-19","11:29:04"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:34:15"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-19","11:34:35"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-19","11:34:45"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-19","11:36:17"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-19","11:37:35"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-19","11:39:23"
