"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: Across Hepatology","2023-03-28","06:03:47"
"onClick","Navigate","Navigation","Category: Across Hepatology","2023-03-28","10:32:44"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-28","10:32:51"
"onClick","Open","mp4","CP in PBC Burden of Disease","2023-03-28","10:32:53"
"onClick","Close","mp4","CP in PBC Burden of Disease","2023-03-28","10:33:02"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-28","10:33:04"
"onClick","Open","mp4","Functional Cure","2023-03-28","10:33:06"
"onClick","Close","mp4","Functional Cure","2023-03-28","10:33:11"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-28","10:33:14"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-28","11:13:45"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-28","11:13:46"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-28","11:13:48"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-28","11:13:53"
"onClick","Open","mp4","Functional Cure","2023-03-28","11:13:55"
