"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","12:29:15"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-17","12:36:31"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-17","12:36:32"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-17","12:36:33"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-17","12:36:34"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-17","12:36:35"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-17","12:36:38"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-17","12:36:41"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","12:38:37"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","01:58:51"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","02:04:31"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-17","02:06:00"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","02:10:24"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","02:22:36"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-17","02:23:56"
